36132	rhodotricha
33286	cephalantha
AC96-WA-VTP-1	racemosa
39823	tenera
33409	confertiflora
TH261625	porrecta
12_10	cranolopha_12/F
25_06	cranolopha_25
38833	rudis
35321	tenuisecta
OP2	hacqueti
28650	glabrescens
29236	dolichoglossa
MT_06736	gracilis
12_12	cranolopha_12/F
25_08	cranolopha_25
31603	lasiophrys
30106	fletcheri
reto2	foliosa
36223	floribunda
35693	lyrata
31416	sphaerantha
12_13	population_12/F
25_11	population_25
G31226	tsekouensis
41748	lachnoglossa
41112	elwesii
KM12_0215	langsdorfii
28210	pseudomelampyriflora
30861	debilis
33476	anas
12_14	cranolopha_12/F
G28296	aurata
39849	longipes
39969	torta
23457	keiskei
38827	cristatella
35107	debilis
39406	anas
F25_S11-6	cranolopha_12/F
OP1	sceptrum-carolinum
35030	gracilituba
30143	bella
PK.09.473	yezoensis
28415	densispica
39306	verticillata
35923	brevilabris
24_01	cranolopha_24
KM12_0022a	capitata
38013	macrosiphon
30913	remotiloba
9830108	furfuracea
32292	pectinatiformis
41331	szetchuanica
34797	urceolata
24_03	cranolopha_24
35316	salviiflora
40120	rhinanthoides
Berry7989	oederi
TH261626	hoffmeisteri
34055	indet
29034	dichotoma
29583	pheulpinii
24_08	cranolopha_24
AC0325	semibarbata
39827	streptorhyncha
nf3466	apodochila
RHR9909	pauciflora
40065	semitorta
29632	alaschanica
28297	likiangensis
24_11	cranolopha_24
NT_P49	procera
30756	przewalskii
PK09.597	PK09.597
40943	mollis
31797	pilostachya
TH260124	pyramidata
34047	brachycrania
24_12	cranolopha_24
PK09.598	PK09.598
PK09.307	scullyana
Apple090821.7	contorta
Nep9950029	sikkimensis
31414	plicata
30015	oliveriana
40898	bomiensis
25_01	cranolopha_25
35149	dolichocymba
33179	axillaris
PK09.033	kerneri
34670	batangensis
32833	alopecuros
39108	integrifolia
12_09	cranolopha_12/F
25_02	cranolopha_25
